,action_type,combined_shot_type,loc_x,loc_y,shot_made_flag,shot_zone_area,shot_zone_basic,shot_zone_combined,avg_by_shot_zone_combined
0,Jump Shot,Jump Shot,167,72,,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
1,Jump Shot,Jump Shot,-157,0,0.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
2,Jump Shot,Jump Shot,-101,135,1.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
3,Jump Shot,Jump Shot,138,175,0.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
4,Driving Dunk Shot,Dunk,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
6,Layup Shot,Layup,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
7,Jump Shot,Jump Shot,1,28,,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
8,Jump Shot,Jump Shot,-65,108,1.0,Left Side(L),In The Paint (Non-RA),Left Side(L) In The Paint (Non-RA),0.4126984126984127
9,Running Jump Shot,Jump Shot,-33,125,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
10,Jump Shot,Jump Shot,-94,238,0.0,Left Side Center(LC),Above the Break 3,Left Side Center(LC) Above the Break 3,0.3192771084337349
11,Jump Shot,Jump Shot,121,127,1.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
12,Running Jump Shot,Jump Shot,-67,110,1.0,Left Side(L),In The Paint (Non-RA),Left Side(L) In The Paint (Non-RA),0.4126984126984127
13,Jump Shot,Jump Shot,-94,4,0.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
14,Jump Shot,Jump Shot,-23,47,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
15,Jump Shot,Jump Shot,62,192,0.0,Center(C),Mid-Range,Center(C) Mid-Range,0.41887675507020283
16,Driving Layup Shot,Layup,0,0,,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
17,Jump Shot,Jump Shot,-117,226,1.0,Left Side Center(LC),Above the Break 3,Left Side Center(LC) Above the Break 3,0.3192771084337349
18,Jump Shot,Jump Shot,-132,97,0.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
19,Driving Layup Shot,Layup,0,0,,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
20,Jump Shot,Jump Shot,3,144,0.0,Center(C),Mid-Range,Center(C) Mid-Range,0.41887675507020283
21,Jump Shot,Jump Shot,134,127,0.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
22,Running Jump Shot,Jump Shot,-16,110,1.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
23,Running Jump Shot,Jump Shot,-109,150,1.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
24,Running Jump Shot,Jump Shot,-46,63,1.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
25,Layup Shot,Layup,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
26,Jump Shot,Jump Shot,-58,196,0.0,Center(C),Mid-Range,Center(C) Mid-Range,0.41887675507020283
27,Jump Shot,Jump Shot,-183,186,0.0,Left Side Center(LC),Above the Break 3,Left Side Center(LC) Above the Break 3,0.3192771084337349
28,Jump Shot,Jump Shot,85,173,0.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
29,Jump Shot,Jump Shot,3,87,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
30,Running Jump Shot,Jump Shot,121,4,1.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
31,Jump Shot,Jump Shot,127,34,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
32,Jump Shot,Jump Shot,163,76,,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
33,Jump Shot,Jump Shot,70,194,,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
34,Layup Shot,Layup,1,19,,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
35,Layup Shot,Layup,-12,15,,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
36,Reverse Layup Shot,Layup,1,4,,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
37,Jump Shot,Jump Shot,-117,116,,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
38,Jump Shot,Jump Shot,91,184,1.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
39,Jump Shot,Jump Shot,-27,272,1.0,Center(C),Above the Break 3,Center(C) Above the Break 3,0.3207343412526998
40,Jump Shot,Jump Shot,-176,66,0.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
41,Layup Shot,Layup,7,4,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
42,Jump Shot,Jump Shot,150,133,1.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
43,Jump Shot,Jump Shot,49,15,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
44,Layup Shot,Layup,-12,19,,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
45,Layup Shot,Layup,-4,4,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
46,Reverse Dunk Shot,Dunk,-4,4,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
47,Slam Dunk Shot,Dunk,1,9,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
48,Jump Shot,Jump Shot,121,120,1.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
49,Jump Shot,Jump Shot,-176,30,,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
50,Layup Shot,Layup,1,9,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
51,Layup Shot,Layup,-12,9,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
52,Jump Shot,Jump Shot,24,70,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
54,Jump Shot,Jump Shot,-141,247,,Left Side Center(LC),Above the Break 3,Left Side Center(LC) Above the Break 3,0.3192771084337349
55,Jump Shot,Jump Shot,-155,194,0.0,Left Side Center(LC),Above the Break 3,Left Side Center(LC) Above the Break 3,0.3192771084337349
56,Jump Shot,Jump Shot,1,228,1.0,Center(C),Mid-Range,Center(C) Mid-Range,0.41887675507020283
57,Driving Layup Shot,Layup,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
58,Slam Dunk Shot,Dunk,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
59,Jump Shot,Jump Shot,146,241,,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
60,Jump Shot,Jump Shot,-33,108,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
61,Layup Shot,Layup,22,49,1.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
62,Driving Layup Shot,Layup,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
63,Driving Layup Shot,Layup,56,21,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
64,Running Jump Shot,Jump Shot,121,26,1.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
65,Jump Shot,Jump Shot,-10,91,,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
66,Jump Shot,Jump Shot,-119,36,,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
67,Jump Shot,Jump Shot,231,57,0.0,Right Side(R),Right Corner 3,Right Side(R) Right Corner 3,0.33933933933933935
68,Driving Layup Shot,Layup,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
69,Driving Dunk Shot,Dunk,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
70,Jump Shot,Jump Shot,159,110,,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
71,Jump Shot,Jump Shot,7,257,1.0,Center(C),Above the Break 3,Center(C) Above the Break 3,0.3207343412526998
72,Driving Layup Shot,Layup,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
73,Jump Shot,Jump Shot,51,57,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
74,Jump Shot,Jump Shot,167,190,0.0,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
75,Jump Shot,Jump Shot,-119,190,1.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
